;;;;;;;Human;Human;Human;Elenco;Elenco;Elenco;Espião Estatístico;Espião Estatístico;Espião Estatístico;UFMG;UFMG;UFMG;Chance de Gol;Chance de Gol;Chance de Gol;Five-Thirty-Eight;Five-Thirty-Eight;Five-Thirty-Eight;MaiaE0;MaiaE0;MaiaE0;Betting House;Betting House;Betting House
date;round;home_team;home_score;away_score;away_team;result;H;D;A;H;D;A;H;D;A;H;D;A;H;D;A;H;D;A;H;D;A;H;D;A
27/06/2021;7;Sport;0;0;Cuiabá;D;0.44;0.31;0.25;0.5;0.27;0.23;0.46;0.35;0.19;0.3666;0.3757;0.2577;0.392;0.305;0.303;0.48;0.27;0.25;0.438149399758055;0.289994899685833;0.271855700556112;0.4661;0.3007;0.233
28/06/2021;7;Atlético-GO;0;1;Bragantino;A;0.28;0.32;0.4;0.38;0.26;0.36;0.34;0.31;0.35;0.3597;0.2984;0.3418;0.386;0.267;0.347;0.29;0.25;0.46;0.340116078409514;0.281565695285901;0.378318226304585;0.3405;0.302;0.3574
30/06/2021;8;Fluminense;1;4;Athletico-PR;A;0.44;0.3;0.26;0.5;0.27;0.23;0.42;0.3;0.28;0.404;0.3056;0.2904;0.555;0.271;0.174;0.48;0.27;0.25;0.390249717013764;0.30708576285448;0.302664520131756;0.4276;0.3035;0.2688
30/06/2021;8;Fortaleza;3;2;Chapecoense;H;0.59;0.27;0.14;0.63;0.22;0.15;0.62;0.24;0.14;0.3267;0.4823;0.1909;0.617;0.258;0.125;0.54;0.25;0.21;0.557071011595694;0.264199260019686;0.17872972838462;0.5571;0.2706;0.1722
30/06/2021;8;Internacional;1;2;Palmeiras;A;0.41;0.28;0.31;0.39;0.26;0.35;0.45;0.27;0.28;0.3612;0.3483;0.2905;0.41;0.264;0.326;0.38;0.26;0.36;0.420836138134907;0.272089196482237;0.307074665382856;0.3991;0.2956;0.3051
30/06/2021;8;Bahia;3;4;América-MG;A;0.53;0.31;0.16;0.63;0.22;0.15;0.49;0.28;0.23;0.4954;0.2744;0.2302;0.522;0.271;0.207;0.53;0.24;0.23;0.615174355151096;0.2534398565203;0.131385788328604;0.4705;0.2941;0.2352
30/06/2021;8;Santos;0;0;Sport;D;0.58;0.27;0.15;0.64;0.23;0.13;0.59;0.26;0.15;0.521;0.3128;0.1662;0.545;0.265;0.19;0.57;0.25;0.17;0.621147958726399;0.234236884046082;0.144615157227519;0.5829;0.2606;0.1564
30/06/2021;8;Corinthians;0;0;São Paulo;D;0.37;0.36;0.27;0.52;0.27;0.21;0.4;0.32;0.28;0.2802;0.4467;0.2731;0.262;0.253;0.485;0.41;0.28;0.31;0.411273456766011;0.301879870910882;0.286846672323107;0.3015;0.292;0.4063
30/06/2021;8;Juventude;2;0;Grêmio;H;0.24;0.32;0.44;0.34;0.29;0.37;0.28;0.38;0.34;0.4766;0.2105;0.3129;0.246;0.27;0.484;0.3;0.26;0.43;0.215800235573491;0.282445818416621;0.501753946009889;0.1876;0.276;0.5362
01/07/2021;8;Bragantino;0;0;Ceará;D;0.62;0.24;0.14;0.71;0.17;0.12;0.42;0.26;0.32;0.3182;0.5105;0.1713;0.502;0.245;0.253;0.61;0.22;0.17;0.610935447489932;0.217108102041397;0.171956450468671;0.5141;0.2767;0.209
01/07/2021;8;Atlético-MG;4;1;Atlético-GO;H;0.63;0.21;0.16;0.55;0.27;0.18;0.48;0.29;0.23;0.3788;0.3056;0.3156;0.482;0.271;0.246;0.55;0.25;0.2;0.512364154100909;0.264241920327089;0.223393925572002;0.5789;0.2589;0.1621
01/07/2021;8;Cuiabá;0;2;Flamengo;A;0.19;0.27;0.54;0.29;0.28;0.43;0.24;0.33;0.43;0.3976;0.3512;0.2512;0.207;0.238;0.555;0.14;0.19;0.67;0.253784735532111;0.26646484232772;0.479750422140169;0.1168;0.2337;0.6493
03/07/2021;9;América-MG;2;0;Santos;H;0.41;0.28;0.31;0.33;0.29;0.38;0.3;0.3499;0.3501;0.3035;0.497;0.1995;0.424;0.288;0.288;0.35;0.27;0.38;0.274310910918929;0.291110874737102;0.434578214343969;0.3225;0.2877;0.3897
03/07/2021;9;Athletico-PR;2;1;Fortaleza;H;0.49;0.3;0.21;0.59;0.23;0.18;0.54;0.25;0.21;0.3555;0.4314;0.2131;0.322;0.309;0.369;0.49;0.27;0.24;0.520464586082194;0.278947123115406;0.2005882908024;0.4485;0.2898;0.2616
03/07/2021;9;Corinthians;1;1;Internacional;D;0.42;0.28;0.3;0.52;0.27;0.21;0.41;0.29;0.3;0.2793;0.4066;0.3141;0.396;0.277;0.327;0.4;0.28;0.32;0.384976404356549;0.300015639257972;0.315007956385479;0.3921;0.2941;0.3137
04/07/2021;9;Chapecoense;0;2;Bahia;A;0.37;0.3;0.33;0.43;0.24;0.33;0.34;0.26;0.4;0.3002;0.3527;0.3471;0.358;0.256;0.386;0.38;0.24;0.37;0.360559544990135;0.260963321400167;0.378477133609698;0.3028;0.2888;0.4082
04/07/2021;9;Flamengo;0;1;Fluminense;A;0.57;0.25;0.18;0.61;0.23;0.16;0.48;0.32;0.2;0.4036;0.2724;0.324;0.484;0.244;0.272;0.74;0.17;0.09;0.617199501030966;0.210493625394105;0.172306873574929;0.5626;0.2594;0.1779
